Dp,Dn,log_likelihood,posterior_mass,sum_squared_standardized_error
0.72499999999999998,1.8125,81.315414724849973,3.4507682010746637e-29,193.47688191160853
0.72499999999999998,1.8499999999999999,76.571713911162718,3.0043650431258821e-31,202.96428353898304
0.72499999999999998,1.8875,68.803120200546999,1.2702678883077279e-34,218.50147096021448
0.72499999999999998,1.925,57.96441254266071,2.4928973315105122e-39,240.17888627598705
0.72499999999999998,1.9624999999999999,43.99673159181981,2.1410047498177121e-45,268.11424817766886
0.72499999999999998,2,26.795851005847197,7.2505359196701422e-53,302.51600934961408
0.76249999999999996,0.5,-2269.7901589035787,0,4895.6880291684656
0.76249999999999996,0.53749999999999998,-2084.4665673445415,0,4525.0408460503913
0.76249999999999996,0.57499999999999996,-1912.4555215509372,0,4181.0187544631826
0.76249999999999996,0.61250000000000004,-1752.4857834562572,0,3861.0792782738231
0.76249999999999996,0.65000000000000002,-1603.396898595418,0,3562.9015085521442
0.76249999999999996,0.6875,-1464.1613684102863,0,3284.4304481818813
0.76249999999999996,0.72499999999999998,-1333.9860372263533,0,3024.0797858140154
0.76249999999999996,0.76249999999999996,-1212.045590597088,0,2780.1988925554842
0.76249999999999996,0.80000000000000004,-1097.7303582810659,0,2551.5684279234406
0.76249999999999996,0.83749999999999991,-990.46156836743,0,2337.0308480961685
0.76249999999999996,0.875,-889.77266012360417,0,2135.6530316085168
0.76249999999999996,0.91249999999999998,-795.31174401596513,0,1946.7311993932387
0.76249999999999996,0.94999999999999996,-706.7422435976996,0,1769.5921985567077
0.76249999999999996,0.98750000000000004,-623.72802449122548,0,1603.5637603437594
0.76249999999999996,1.0249999999999999,-546.14615939252803,1.0834691296210891e-301,1448.4000301463645
0.76249999999999996,1.0625,-473.70394710460084,3.1337878711544423e-270,1303.5156055705102
0.76249999999999996,1.1000000000000001,-406.29351466949856,5.9162759805927219e-241,1168.6947407003056
0.76249999999999996,1.1375,-343.7554943846751,8.5499887538463481e-214,1043.6187001306587
0.76249999999999996,1.1749999999999998,-285.94344022566315,1.0950189934943359e-188,927.99459181263478
0.76249999999999996,1.2124999999999999,-232.71877084412824,1.4275846374120245e-165,821.54525304956496
0.76249999999999996,1.25,-183.96869043449186,2.1207661357931289e-144,724.0450922302922
0.76249999999999996,1.2875000000000001,-139.54876500271314,4.1478331821302072e-125,635.20524136673475
0.76249999999999996,1.325,-99.378242688988848,1.1578637505342552e-107,554.86419673928617
0.76249999999999996,1.3624999999999998,-63.283229618790983,5.4893694147256993e-92,482.67417059889044
0.76249999999999996,1.3999999999999999,-31.180669085988114,4.8027209366235982e-78,418.4690495332847
0.76249999999999996,1.4375,-2.8905317923002656,9.284058567853856e-66,361.88877494590901
0.76249999999999996,1.4750000000000001,21.653611930184837,4.2376399402745959e-55,312.8004875009388
0.76249999999999996,1.5125,42.642654139183122,5.5277610960661241e-46,270.82240308294223
0.76249999999999996,1.55,60.133481925696557,2.18131937370734e-38,235.84074750991536
0.76249999999999996,1.5874999999999999,74.281426995473467,3.0415413892016628e-32,207.54485737036154
0.76249999999999996,1.625,85.165437747183702,1.6216590166515657e-27,185.77683586694107
0.76249999999999996,1.6624999999999999,92.896337187099036,3.6935714792501206e-24,170.3150369871104
0.76249999999999996,1.7,97.518996541675733,3.7587371593112428e-22,161.06971827795701
0.76249999999999996,1.7375,99.150489281618064,1.92127818528983e-21,157.80673279807235
0.76249999999999996,1.7749999999999999,97.811956672474949,5.0381712544608107e-22,160.48379801635858
0.76249999999999996,1.8125,93.538545711773438,7.0202750289827513e-24,169.0306199377616
0.76249999999999996,1.8499999999999999,86.341439066770221,5.2564244285430535e-27,183.42483322776803
0.76249999999999996,1.8875,76.194394755793255,2.0600846829118224e-31,203.71892184972197
0.76249999999999996,1.925,63.104729228404537,4.2571167876961031e-37,229.8982529044994
0.76249999999999996,1.9624999999999999,46.952430882726787,4.1139738136157946e-44,262.2028495958549
0.76249999999999996,2,27.720801910796069,1.828399873051477e-52,300.66610753971634
0.80000000000000004,0.5,-2112.4795033423716,0,4581.0667180460514
0.80000000000000004,0.53749999999999998,-1932.6831744448459,0,4221.4740602510001
0.80000000000000004,0.57499999999999996,-1766.2934568707551,0,3888.6946251028189
0.80000000000000004,0.61250000000000004,-1611.9593679063496,0,3580.0264471740074
0.80000000000000004,0.65000000000000002,-1468.5189407840135,0,3293.1455929293352
0.80000000000000004,0.6875,-1334.9332211263022,0,3025.9741536139127
0.80000000000000004,0.72499999999999998,-1210.2870228581323,0,2776.6817570775729
0.80000000000000004,0.76249999999999996,-1093.8878564676202,0,2543.8834242965486
0.80000000000000004,0.80000000000000004,-984.9825090098617,0,2326.0727293810319
0.80000000000000004,0.83749999999999991,-883.10436167645469,0,2122.3164347142178
0.80000000000000004,0.875,-787.66457810747693,0,1931.4368675762623
0.80000000000000004,0.91249999999999998,-698.35411192490994,0,1752.8159352111284
0.80000000000000004,0.94999999999999996,-614.85198861265781,0,1585.8116885866241
0.80000000000000004,0.98750000000000004,-536.79139844943097,1.2518076433260034e-297,1429.6905082601704
0.80000000000000004,1.0249999999999999,-464.02534916501531,5.0053133738172174e-266,1284.1584096913391
0.80000000000000004,1.0625,-396.33447544052183,1.2508470447597474e-236,1148.7766622423521
